no;q2;sex;age;work;educ;tenure
2181;not changed;male;65+;not working;high (Degree);owned outright
2182;up by 4% but less than 5%;female;65+;not working;low (GCSE);owned outright
2183;up by 5% or more;female;35-44;full or part time;high (Degree);mortgage
2184;up by 2% but less than 3%;female;15-24;full or part time;medium (A-Level);council rent
2185;up by 3% but less than 4%;female;35-44;full or part time;low (GCSE);council rent
2186;up by 1% but less than 2%;male;25-34;full or part time;medium (A-Level);mortgage
2187;not changed;female;25-34;full or part time;high (Degree);mortgage
2188;up by 2% but less than 3%;male;35-44;full or part time;low (GCSE);mortgage
2189;up by 2% but less than 3%;male;55-64;full or part time;high (Degree);owned outright
2190;up by 4% but less than 5%;female;15-24;not working;low (GCSE);council rent
2191;not changed;female;25-34;full or part time;medium (A-Level);mortgage
2192;Gone down;female;25-34;full or part time;medium (A-Level);mortgage
2193;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);mortgage
2194;up by 1% but less than 2%;male;35-44;full or part time;high (Degree);mortgage
2195;up by 1% but less than 2%;male;25-34;full or part time;high (Degree);mortgage
2196;Gone down;male;45-54;full or part time;medium (A-Level);mortgage
2197;up by 2% but less than 3%;male;25-34;full or part time;medium (A-Level);mortgage
2198;up by 4% but less than 5%;female;65+;not working;low (GCSE);owned outright
2199;up by 3% but less than 4%;male;65+;not working;medium (A-Level);mortgage
2200;up by 4% but less than 5%;male;35-44;full or part time;high (Degree);mortgage
2201;up by 1% or less;male;25-34;full or part time;medium (A-Level);mortgage
2202;not changed;female;25-34;full or part time;high (Degree);mortgage
2203;up by 4% but less than 5%;male;65+;not working;medium (A-Level);owned outright
2204;up by 1% but less than 2%;female;25-34;full or part time;medium (A-Level);mortgage
2205;not changed;male;45-54;full or part time;medium (A-Level);mortgage
2206;up by 1% or less;male;45-54;full or part time;medium (A-Level);mortgage
2207;up by 4% but less than 5%;male;45-54;full or part time;high (Degree);mortgage
2208;up by 5% or more;male;25-34;full or part time;medium (A-Level);owned outright
2209;not changed;female;35-44;full or part time;high (Degree);mortgage
2210;not changed;female;55-64;full or part time;high (Degree);mortgage
2211;up by 1% or less;male;65+;not working;high (Degree);owned outright
2212;not changed;male;35-44;full or part time;medium (A-Level);mortgage
2213;up by 5% or more;male;45-54;full or part time;medium (A-Level);mortgage
2214;not changed;male;45-54;not working;medium (A-Level);owned outright
2215;up by 5% or more;female;65+;not working;medium (A-Level);owned outright
2216;up by 1% but less than 2%;male;55-64;full or part time;high (Degree);mortgage
2217;up by 3% but less than 4%;male;25-34;full or part time;medium (A-Level);mortgage
2218;up by 5% or more;female;15-24;full or part time;medium (A-Level);mortgage
2219;up by 2% but less than 3%;male;55-64;full or part time;low (GCSE);other (inc private rent pre-2016)
2220;up by 2% but less than 3%;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
2221;up by 1% but less than 2%;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
2222;up by 1% but less than 2%;male;35-44;not working;low (GCSE);other (inc private rent pre-2016)
2223;not changed;female;25-34;full or part time;high (Degree);mortgage
2224;up by 1% but less than 2%;female;65+;not working;high (Degree);owned outright
2225;not changed;female;25-34;full or part time;medium (A-Level);mortgage
2226;up by 5% or more;male;55-64;full or part time;medium (A-Level);owned outright
2227;not changed;female;55-64;not working;medium (A-Level);council rent
2228;Gone down;female;25-34;full or part time;medium (A-Level);mortgage
2229;up by 2% but less than 3%;male;25-34;full or part time;low (GCSE);mortgage
2230;up by 1% or less;female;55-64;not working;low (GCSE);mortgage
2231;up by 5% or more;male;65+;not working;low (GCSE);council rent
2232;not changed;female;65+;not working;medium (A-Level);council rent
2233;up by 1% but less than 2%;male;25-34;full or part time;high (Degree);council rent
2234;up by 1% but less than 2%;female;45-54;full or part time;medium (A-Level);council rent
2235;up by 1% but less than 2%;male;35-44;full or part time;high (Degree);council rent
2236;up by 1% but less than 2%;male;35-44;full or part time;low (GCSE);council rent
2237;up by 1% but less than 2%;female;15-24;not working;medium (A-Level);council rent
2238;up by 1% but less than 2%;female;35-44;full or part time;high (Degree);council rent
2239;up by 1% but less than 2%;female;35-44;not working;low (GCSE);council rent
2240;up by 3% but less than 4%;female;25-34;full or part time;high (Degree);council rent
2241;not changed;male;35-44;not working;medium (A-Level);council rent
2242;up by 1% but less than 2%;male;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
2243;up by 1% but less than 2%;male;15-24;not working;medium (A-Level);council rent
2244;up by 5% or more;female;55-64;full or part time;low (GCSE);council rent
2245;up by 1% but less than 2%;female;55-64;not working;medium (A-Level);council rent
2246;not changed;female;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
2247;up by 5% or more;female;45-54;full or part time;medium (A-Level);mortgage
2248;up by 5% or more;male;45-54;full or part time;high (Degree);owned outright
2249;up by 4% but less than 5%;female;25-34;full or part time;medium (A-Level);council rent
2250;up by 3% but less than 4%;male;55-64;full or part time;low (GCSE);mortgage
2251;up by 5% or more;female;25-34;not working;medium (A-Level);mortgage
2252;up by 2% but less than 3%;female;35-44;full or part time;medium (A-Level);mortgage
2253;up by 4% but less than 5%;male;45-54;full or part time;medium (A-Level);owned outright
2254;up by 2% but less than 3%;female;25-34;full or part time;low (GCSE);other (inc private rent pre-2016)
2255;not changed;male;45-54;full or part time;medium (A-Level);mortgage
2256;not changed;female;55-64;not working;low (GCSE);owned outright
2257;up by 5% or more;male;35-44;full or part time;medium (A-Level);mortgage
2258;up by 5% or more;male;15-24;not working;medium (A-Level);mortgage
2259;up by 5% or more;male;65+;not working;low (GCSE);owned outright
2260;up by 4% but less than 5%;male;65+;full or part time;medium (A-Level);owned outright
2261;up by 5% or more;male;55-64;full or part time;low (GCSE);mortgage
2262;up by 5% or more;female;45-54;full or part time;medium (A-Level);mortgage
2263;up by 5% or more;female;65+;not working;low (GCSE);owned outright
2264;up by 5% or more;female;65+;not working;medium (A-Level);owned outright
2265;up by 5% or more;female;35-44;full or part time;high (Degree);owned outright
2266;up by 5% or more;female;55-64;not working;low (GCSE);owned outright
2267;Gone down;female;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
2268;not changed;male;45-54;full or part time;medium (A-Level);owned outright
2269;up by 5% or more;female;55-64;full or part time;high (Degree);owned outright
2270;up by 1% but less than 2%;female;65+;not working;medium (A-Level);owned outright
2271;not changed;female;15-24;full or part time;medium (A-Level);mortgage
2272;up by 1% but less than 2%;male;15-24;full or part time;medium (A-Level);mortgage
2273;not changed;female;55-64;not working;low (GCSE);council rent
2274;up by 1% or less;female;55-64;not working;low (GCSE);council rent
2275;not changed;male;45-54;full or part time;low (GCSE);council rent
2276;up by 5% or more;male;65+;not working;low (GCSE);council rent
2277;up by 5% or more;female;45-54;not working;low (GCSE);mortgage
2278;up by 1% but less than 2%;female;35-44;full or part time;high (Degree);mortgage
2279;not changed;female;65+;not working;low (GCSE);owned outright
2280;up by 4% but less than 5%;male;55-64;full or part time;low (GCSE);owned outright
2281;up by 1% but less than 2%;female;65+;not working;low (GCSE);owned outright
2282;up by 4% but less than 5%;male;55-64;full or part time;medium (A-Level);council rent
2283;up by 4% but less than 5%;female;55-64;not working;low (GCSE);mortgage
2284;up by 1% but less than 2%;male;65+;not working;low (GCSE);owned outright
2285;up by 2% but less than 3%;male;65+;not working;low (GCSE);mortgage
2286;up by 4% but less than 5%;female;35-44;full or part time;high (Degree);mortgage
2287;not changed;male;45-54;full or part time;medium (A-Level);owned outright
2288;up by 1% or less;female;45-54;full or part time;medium (A-Level);mortgage
2289;up by 2% but less than 3%;female;45-54;full or part time;high (Degree);mortgage
2290;up by 3% but less than 4%;female;45-54;full or part time;low (GCSE);owned outright
2291;up by 2% but less than 3%;female;35-44;not working;low (GCSE);owned outright
2292;up by 3% but less than 4%;female;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
2293;up by 1% or less;female;65+;not working;low (GCSE);owned outright
2294;up by 2% but less than 3%;male;65+;not working;medium (A-Level);owned outright
2295;up by 5% or more;male;55-64;not working;medium (A-Level);mortgage
2296;up by 5% or more;female;65+;not working;high (Degree);owned outright
2297;not changed;male;55-64;not working;medium (A-Level);mortgage
2298;Gone down;female;35-44;full or part time;medium (A-Level);mortgage
2299;up by 4% but less than 5%;male;55-64;full or part time;medium (A-Level);other (inc private rent pre-2016)
2300;up by 4% but less than 5%;female;35-44;full or part time;medium (A-Level);mortgage
2301;not changed;male;35-44;full or part time;high (Degree);mortgage
2302;Gone down;male;15-24;full or part time;high (Degree);other (inc private rent pre-2016)
2303;up by 3% but less than 4%;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
2304;up by 5% or more;male;45-54;not working;medium (A-Level);mortgage
2305;up by 3% but less than 4%;male;55-64;not working;medium (A-Level);owned outright
2306;Gone down;female;35-44;full or part time;high (Degree);other (inc private rent pre-2016)
2307;not changed;female;45-54;not working;high (Degree);mortgage
2308;up by 2% but less than 3%;male;45-54;full or part time;high (Degree);other (inc private rent pre-2016)
2309;up by 5% or more;female;55-64;full or part time;high (Degree);mortgage
2310;up by 2% but less than 3%;male;65+;not working;high (Degree);owned outright
2311;up by 2% but less than 3%;female;35-44;full or part time;medium (A-Level);mortgage
2312;up by 4% but less than 5%;male;35-44;full or part time;high (Degree);mortgage
2313;up by 3% but less than 4%;female;45-54;full or part time;low (GCSE);mortgage
2314;up by 3% but less than 4%;male;65+;not working;low (GCSE);owned outright
2315;up by 5% or more;male;55-64;full or part time;medium (A-Level);owned outright
2316;Gone down;male;35-44;full or part time;medium (A-Level);mortgage
2317;up by 1% but less than 2%;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
2318;not changed;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
2319;up by 3% but less than 4%;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
2320;up by 4% but less than 5%;male;65+;not working;low (GCSE);other (inc private rent pre-2016)
2321;not changed;female;35-44;not working;low (GCSE);other (inc private rent pre-2016)
2322;not changed;female;25-34;full or part time;high (Degree);mortgage
2323;up by 2% but less than 3%;male;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
2324;up by 2% but less than 3%;male;65+;not working;high (Degree);owned outright
2325;up by 5% or more;female;55-64;not working;medium (A-Level);owned outright
2326;up by 4% but less than 5%;male;65+;not working;low (GCSE);owned outright
2327;up by 3% but less than 4%;female;65+;not working;medium (A-Level);other (inc private rent pre-2016)
2328;up by 2% but less than 3%;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
2329;up by 3% but less than 4%;male;45-54;not working;medium (A-Level);other (inc private rent pre-2016)
2330;up by 4% but less than 5%;female;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
2331;up by 4% but less than 5%;female;35-44;full or part time;medium (A-Level);mortgage
2332;up by 5% or more;female;25-34;not working;low (GCSE);other (inc private rent pre-2016)
2333;up by 3% but less than 4%;male;55-64;not working;low (GCSE);owned outright
2334;up by 4% but less than 5%;male;65+;not working;low (GCSE);owned outright
2335;up by 2% but less than 3%;male;25-34;not working;medium (A-Level);council rent
2336;up by 1% but less than 2%;female;55-64;not working;low (GCSE);other (inc private rent pre-2016)
2337;up by 1% or less;male;65+;not working;low (GCSE);other (inc private rent pre-2016)
2338;not changed;male;45-54;full or part time;low (GCSE);owned outright
2339;up by 4% but less than 5%;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
2340;up by 2% but less than 3%;male;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
2341;up by 1% but less than 2%;female;25-34;not working;low (GCSE);other (inc private rent pre-2016)
2342;up by 5% or more;female;45-54;full or part time;high (Degree);council rent
2343;Gone down;male;35-44;full or part time;high (Degree);mortgage
2344;up by 1% but less than 2%;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
2345;up by 5% or more;male;65+;not working;medium (A-Level);mortgage
2346;Gone down;male;35-44;not working;medium (A-Level);mortgage
2347;up by 5% or more;female;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
2348;up by 4% but less than 5%;male;15-24;full or part time;high (Degree);other (inc private rent pre-2016)
2349;up by 5% or more;female;55-64;not working;high (Degree);owned outright
2350;up by 3% but less than 4%;female;35-44;not working;medium (A-Level);council rent
2351;up by 5% or more;female;55-64;not working;medium (A-Level);mortgage
2352;Gone down;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
2353;up by 4% but less than 5%;male;15-24;full or part time;medium (A-Level);mortgage
2354;up by 1% or less;female;35-44;not working;medium (A-Level);mortgage
2355;Gone down;male;25-34;full or part time;high (Degree);mortgage
2356;up by 1% but less than 2%;female;35-44;not working;low (GCSE);other (inc private rent pre-2016)
2357;up by 5% or more;female;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
2358;Gone down;male;35-44;full or part time;medium (A-Level);mortgage
2359;not changed;female;25-34;full or part time;medium (A-Level);council rent
2360;up by 3% but less than 4%;male;55-64;full or part time;medium (A-Level);mortgage
2361;up by 2% but less than 3%;female;45-54;full or part time;medium (A-Level);council rent
2362;not changed;male;45-54;not working;low (GCSE);council rent
2363;up by 1% but less than 2%;male;35-44;full or part time;medium (A-Level);mortgage
2364;Gone down;female;45-54;not working;low (GCSE);other (inc private rent pre-2016)
2365;Gone down;female;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
2366;up by 2% but less than 3%;female;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
2367;up by 2% but less than 3%;male;25-34;full or part time;medium (A-Level);mortgage
2368;not changed;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
2369;up by 5% or more;male;15-24;full or part time;medium (A-Level);mortgage
2370;up by 5% or more;male;15-24;not working;medium (A-Level);owned outright
2371;up by 5% or more;male;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
2372;up by 3% but less than 4%;male;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
2373;up by 5% or more;female;55-64;not working;low (GCSE);council rent
2374;up by 4% but less than 5%;female;15-24;full or part time;medium (A-Level);owned outright
2375;not changed;male;55-64;not working;low (GCSE);council rent
2376;up by 5% or more;female;15-24;full or part time;low (GCSE);council rent
2377;up by 3% but less than 4%;male;25-34;full or part time;medium (A-Level);mortgage
2378;up by 5% or more;female;25-34;full or part time;low (GCSE);council rent
2379;up by 4% but less than 5%;female;45-54;not working;low (GCSE);council rent
2380;up by 5% or more;male;35-44;full or part time;medium (A-Level);owned outright
2381;not changed;male;35-44;full or part time;high (Degree);mortgage
2382;up by 5% or more;male;65+;not working;low (GCSE);council rent
2383;not changed;female;65+;not working;low (GCSE);owned outright
2384;up by 4% but less than 5%;female;15-24;not working;low (GCSE);council rent
2385;up by 5% or more;male;65+;not working;low (GCSE);owned outright
2386;up by 5% or more;female;35-44;full or part time;low (GCSE);mortgage
2387;up by 3% but less than 4%;male;65+;not working;low (GCSE);owned outright
2388;not changed;male;35-44;full or part time;medium (A-Level);mortgage
2389;up by 5% or more;female;45-54;full or part time;medium (A-Level);owned outright
2390;not changed;female;65+;not working;medium (A-Level);other (inc private rent pre-2016)
2391;up by 1% but less than 2%;male;45-54;not working;medium (A-Level);mortgage
2392;up by 5% or more;female;35-44;full or part time;high (Degree);mortgage
2393;Gone down;male;35-44;full or part time;medium (A-Level);mortgage
2394;up by 3% but less than 4%;male;45-54;full or part time;medium (A-Level);mortgage
2395;Gone down;male;55-64;full or part time;high (Degree);owned outright
2396;Gone down;female;25-34;not working;medium (A-Level);mortgage
2397;up by 3% but less than 4%;female;35-44;full or part time;medium (A-Level);mortgage
2398;up by 4% but less than 5%;female;45-54;full or part time;medium (A-Level);owned outright
2399;up by 1% but less than 2%;female;45-54;full or part time;high (Degree);mortgage
2400;up by 2% but less than 3%;male;65+;not working;medium (A-Level);council rent
2401;up by 5% or more;male;25-34;full or part time;low (GCSE);council rent
2402;up by 5% or more;male;55-64;not working;medium (A-Level);council rent
2403;up by 5% or more;female;35-44;full or part time;medium (A-Level);council rent
2404;up by 5% or more;female;45-54;full or part time;low (GCSE);council rent
2405;up by 5% or more;male;65+;not working;medium (A-Level);council rent
2406;up by 1% but less than 2%;female;15-24;full or part time;medium (A-Level);mortgage
2407;up by 1% or less;male;45-54;full or part time;medium (A-Level);mortgage
2408;up by 3% but less than 4%;female;45-54;full or part time;medium (A-Level);mortgage
2409;up by 5% or more;male;55-64;full or part time;medium (A-Level);owned outright
2410;up by 4% but less than 5%;female;45-54;full or part time;low (GCSE);council rent
2411;Gone down;male;55-64;full or part time;low (GCSE);owned outright
2412;up by 1% or less;male;35-44;full or part time;high (Degree);mortgage
2413;not changed;male;35-44;full or part time;low (GCSE);mortgage
2414;Gone down;male;65+;not working;medium (A-Level);owned outright
2415;up by 1% but less than 2%;female;65+;not working;low (GCSE);owned outright
2416;up by 2% but less than 3%;male;65+;not working;low (GCSE);other (inc private rent pre-2016)
2417;up by 3% but less than 4%;male;55-64;full or part time;medium (A-Level);mortgage
2418;up by 5% or more;male;55-64;not working;high (Degree);owned outright
2419;up by 4% but less than 5%;male;65+;not working;medium (A-Level);owned outright
2420;not changed;female;55-64;not working;medium (A-Level);owned outright
2421;Gone down;female;35-44;not working;medium (A-Level);mortgage
2422;up by 5% or more;male;55-64;full or part time;high (Degree);mortgage
2423;up by 2% but less than 3%;male;55-64;not working;medium (A-Level);owned outright
2424;up by 4% but less than 5%;male;65+;not working;low (GCSE);other (inc private rent pre-2016)
2425;Gone down;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
2426;Gone down;female;65+;full or part time;high (Degree);mortgage
2427;up by 5% or more;male;45-54;full or part time;medium (A-Level);mortgage
2428;up by 1% but less than 2%;female;35-44;full or part time;medium (A-Level);mortgage
2429;Gone down;female;35-44;full or part time;high (Degree);owned outright
2430;up by 1% or less;male;35-44;full or part time;high (Degree);mortgage
2431;up by 1% but less than 2%;male;55-64;not working;low (GCSE);mortgage
2432;up by 2% but less than 3%;male;55-64;full or part time;high (Degree);mortgage
2433;up by 1% but less than 2%;male;45-54;full or part time;high (Degree);mortgage
2434;up by 1% but less than 2%;male;65+;not working;low (GCSE);owned outright
2435;up by 4% but less than 5%;female;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
2436;up by 1% but less than 2%;female;35-44;full or part time;low (GCSE);other (inc private rent pre-2016)
2437;up by 5% or more;male;65+;not working;low (GCSE);owned outright
2438;not changed;female;25-34;full or part time;medium (A-Level);mortgage
2439;up by 4% but less than 5%;male;45-54;not working;medium (A-Level);owned outright
2440;up by 4% but less than 5%;female;55-64;full or part time;low (GCSE);mortgage
2441;up by 1% but less than 2%;female;55-64;full or part time;medium (A-Level);owned outright
2442;up by 1% or less;female;35-44;full or part time;medium (A-Level);mortgage
2443;not changed;female;45-54;not working;low (GCSE);owned outright
2444;up by 5% or more;female;55-64;not working;medium (A-Level);owned outright
2445;up by 5% or more;female;65+;full or part time;low (GCSE);mortgage
2446;up by 2% but less than 3%;female;35-44;full or part time;medium (A-Level);mortgage
2447;up by 5% or more;male;35-44;full or part time;medium (A-Level);mortgage
2448;up by 2% but less than 3%;female;25-34;full or part time;medium (A-Level);mortgage
2449;up by 2% but less than 3%;female;45-54;full or part time;medium (A-Level);council rent
2450;not changed;male;55-64;full or part time;low (GCSE);council rent
2451;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);mortgage
2452;not changed;female;35-44;full or part time;medium (A-Level);mortgage
2453;up by 1% or less;female;55-64;not working;low (GCSE);council rent
2454;not changed;female;15-24;not working;medium (A-Level);council rent
2455;not changed;male;65+;not working;low (GCSE);owned outright
2456;not changed;male;35-44;full or part time;medium (A-Level);mortgage
2457;up by 1% but less than 2%;female;55-64;not working;medium (A-Level);owned outright
2458;not changed;female;45-54;not working;medium (A-Level);owned outright
2459;up by 2% but less than 3%;female;35-44;full or part time;medium (A-Level);mortgage
2460;up by 4% but less than 5%;male;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
2461;not changed;male;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
2462;up by 5% or more;female;35-44;full or part time;medium (A-Level);mortgage
2463;up by 5% or more;male;65+;not working;low (GCSE);owned outright
2464;up by 5% or more;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
2465;Gone down;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
2466;up by 3% but less than 4%;male;45-54;full or part time;medium (A-Level);mortgage
2467;up by 4% but less than 5%;male;45-54;full or part time;high (Degree);mortgage
2468;Gone down;male;45-54;full or part time;medium (A-Level);mortgage
2469;up by 5% or more;male;15-24;full or part time;medium (A-Level);council rent
2470;up by 5% or more;male;15-24;not working;medium (A-Level);council rent
2471;up by 5% or more;female;35-44;full or part time;medium (A-Level);mortgage
2472;up by 4% but less than 5%;female;35-44;not working;medium (A-Level);council rent
2473;up by 2% but less than 3%;male;15-24;full or part time;high (Degree);owned outright
2474;not changed;male;65+;not working;medium (A-Level);owned outright
2475;up by 4% but less than 5%;male;45-54;not working;medium (A-Level);owned outright
2476;up by 2% but less than 3%;male;65+;not working;high (Degree);owned outright
2477;up by 2% but less than 3%;male;55-64;full or part time;medium (A-Level);owned outright
2478;not changed;female;55-64;not working;high (Degree);owned outright
2479;up by 3% but less than 4%;female;35-44;full or part time;high (Degree);mortgage
2480;up by 1% or less;male;45-54;full or part time;high (Degree);mortgage
2481;up by 5% or more;male;55-64;not working;medium (A-Level);owned outright
2482;up by 4% but less than 5%;female;65+;not working;low (GCSE);owned outright
2483;Gone down;female;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
2484;Gone down;male;35-44;full or part time;low (GCSE);mortgage
2485;up by 5% or more;female;45-54;not working;medium (A-Level);owned outright
2486;up by 2% but less than 3%;female;65+;not working;medium (A-Level);council rent
2487;Gone down;male;35-44;full or part time;low (GCSE);council rent
2488;up by 5% or more;female;65+;not working;low (GCSE);owned outright
2489;up by 3% but less than 4%;female;65+;not working;low (GCSE);owned outright
2490;Gone down;male;25-34;not working;high (Degree);council rent
2491;Gone down;male;15-24;not working;medium (A-Level);council rent
2492;up by 5% or more;male;55-64;not working;low (GCSE);mortgage
2493;not changed;female;35-44;full or part time;medium (A-Level);council rent
2494;up by 2% but less than 3%;female;25-34;full or part time;high (Degree);mortgage
2495;up by 5% or more;female;55-64;full or part time;medium (A-Level);council rent
2496;up by 3% but less than 4%;female;15-24;full or part time;medium (A-Level);mortgage
2497;up by 3% but less than 4%;male;35-44;not working;high (Degree);council rent
2498;up by 4% but less than 5%;female;55-64;not working;medium (A-Level);council rent
2499;not changed;male;25-34;full or part time;medium (A-Level);mortgage
2500;up by 5% or more;female;25-34;not working;low (GCSE);council rent
2501;up by 2% but less than 3%;female;25-34;full or part time;high (Degree);mortgage
2502;up by 3% but less than 4%;male;65+;not working;low (GCSE);council rent
2503;up by 1% or less;female;65+;not working;high (Degree);owned outright
2504;up by 4% but less than 5%;male;55-64;full or part time;low (GCSE);owned outright
2505;up by 4% but less than 5%;female;45-54;not working;low (GCSE);mortgage
2506;up by 3% but less than 4%;female;45-54;full or part time;high (Degree);mortgage
2507;up by 2% but less than 3%;female;35-44;full or part time;medium (A-Level);mortgage
2508;up by 3% but less than 4%;male;65+;full or part time;medium (A-Level);owned outright
2509;up by 2% but less than 3%;male;35-44;full or part time;medium (A-Level);mortgage
2510;up by 3% but less than 4%;male;55-64;not working;medium (A-Level);owned outright
2511;up by 3% but less than 4%;female;25-34;full or part time;medium (A-Level);mortgage
2512;Gone down;female;25-34;full or part time;medium (A-Level);mortgage
2513;Gone down;male;55-64;full or part time;low (GCSE);owned outright
2514;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);council rent
2515;up by 4% but less than 5%;male;45-54;not working;medium (A-Level);other (inc private rent pre-2016)
2516;up by 5% or more;male;35-44;full or part time;medium (A-Level);mortgage
2517;not changed;male;55-64;not working;medium (A-Level);owned outright
2518;Gone down;male;65+;full or part time;medium (A-Level);owned outright
2519;not changed;female;45-54;not working;medium (A-Level);mortgage
2520;not changed;female;35-44;full or part time;medium (A-Level);mortgage
2521;not changed;female;15-24;full or part time;medium (A-Level);mortgage
2522;up by 1% or less;male;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
2523;up by 1% but less than 2%;male;35-44;full or part time;medium (A-Level);owned outright
2524;up by 1% or less;female;35-44;full or part time;high (Degree);owned outright
2525;up by 3% but less than 4%;female;25-34;full or part time;medium (A-Level);mortgage
2526;up by 4% but less than 5%;female;55-64;not working;high (Degree);other (inc private rent pre-2016)
2527;up by 2% but less than 3%;male;55-64;not working;low (GCSE);mortgage
2528;Gone down;female;55-64;not working;low (GCSE);other (inc private rent pre-2016)
2529;Gone down;female;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
2530;not changed;female;35-44;not working;low (GCSE);other (inc private rent pre-2016)
2531;not changed;male;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
2532;up by 1% or less;male;65+;not working;low (GCSE);other (inc private rent pre-2016)
2533;up by 1% but less than 2%;female;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
2534;Gone down;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
2535;Gone down;male;35-44;full or part time;low (GCSE);other (inc private rent pre-2016)
2536;up by 2% but less than 3%;male;35-44;full or part time;high (Degree);mortgage
2537;not changed;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
2538;up by 2% but less than 3%;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
2539;up by 2% but less than 3%;female;55-64;not working;medium (A-Level);mortgage
2540;Gone down;female;35-44;full or part time;medium (A-Level);mortgage
2541;Gone down;male;25-34;full or part time;high (Degree);mortgage
2542;up by 5% or more;male;45-54;full or part time;medium (A-Level);mortgage
2543;up by 5% or more;female;55-64;not working;medium (A-Level);owned outright
2544;up by 5% or more;female;55-64;not working;medium (A-Level);council rent
2545;up by 5% or more;female;65+;not working;medium (A-Level);owned outright
2546;up by 2% but less than 3%;male;15-24;full or part time;medium (A-Level);mortgage
2547;up by 2% but less than 3%;male;55-64;full or part time;medium (A-Level);owned outright
2548;up by 3% but less than 4%;female;45-54;full or part time;medium (A-Level);mortgage
2549;up by 3% but less than 4%;female;55-64;not working;medium (A-Level);owned outright
2550;Gone down;female;55-64;not working;medium (A-Level);owned outright
2551;Gone down;female;45-54;full or part time;medium (A-Level);mortgage
2552;not changed;male;65+;not working;medium (A-Level);owned outright
2553;up by 1% but less than 2%;male;45-54;full or part time;medium (A-Level);mortgage
2554;up by 5% or more;female;35-44;full or part time;high (Degree);mortgage
2555;Gone down;female;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
2556;up by 3% but less than 4%;female;35-44;full or part time;high (Degree);mortgage
2557;Gone down;male;25-34;not working;medium (A-Level);mortgage
2558;up by 1% but less than 2%;female;35-44;full or part time;high (Degree);mortgage
2559;up by 4% but less than 5%;male;15-24;full or part time;high (Degree);other (inc private rent pre-2016)
2560;up by 1% but less than 2%;female;35-44;full or part time;high (Degree);mortgage
2561;up by 2% but less than 3%;male;35-44;full or part time;medium (A-Level);mortgage
2562;not changed;male;55-64;not working;low (GCSE);mortgage
2563;not changed;male;45-54;full or part time;medium (A-Level);mortgage
2564;Gone down;male;35-44;full or part time;medium (A-Level);mortgage
2565;up by 1% but less than 2%;male;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
2566;up by 1% but less than 2%;male;55-64;full or part time;medium (A-Level);mortgage
2567;not changed;female;35-44;full or part time;high (Degree);mortgage
2568;up by 5% or more;female;45-54;full or part time;medium (A-Level);mortgage
2569;up by 5% or more;female;25-34;full or part time;medium (A-Level);mortgage
2570;Gone down;female;35-44;full or part time;low (GCSE);mortgage
2571;up by 3% but less than 4%;male;25-34;full or part time;medium (A-Level);mortgage
2572;not changed;male;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
